metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero
nrUpdate,All,165,165,0,2.0171364658237563,1.9050682110685115,2.1357972896276665,11.251040124073201,10.104952528685548,12.397127719460855,True,True
nrUpdate,MatrixFactorizationInput,75,75,0,2.7995957512361502,2.647677870414538,2.9602303429428805,3.1584945638740796,3.048132647005021,3.268856480743138,True,True
nrUpdate,MatrixSensing,75,75,0,1.4049345383054255,1.4035186340173211,1.406351870992772,17.292979357721425,17.250639943644526,17.335318771798324,True,True
nrUpdate,SmallMLPDigits,15,15,0,2.38963192978475,2.3353847290768868,2.4451392050096725,21.504071756827653,21.18106837206038,21.827075141594925,True,True
stUpdate,All,165,165,0,4.765111045184322,4.582376205482207,4.955132938620918,26.000023683139613,22.850571980257843,29.149475386021383,True,True
stUpdate,MatrixFactorizationInput,75,75,0,4.334798621074945,4.205521268569788,4.46804994798267,3.835896505490636,3.7970749079572843,3.8747181030239877,True,True
stUpdate,MatrixSensing,75,75,0,4.525160744936972,4.459562517479212,4.591723893825643,46.71461146496488,46.525618433376515,46.90360449655325,True,True
stUpdate,SmallMLPDigits,15,15,0,9.903497492351194,9.382791204998234,10.453100835150138,33.247720662258146,33.06892203257471,33.42651929194158,True,True
nrUpdateFrac,All,165,165,0,1.9529513984265363,1.8446272766615524,2.0676367593993628,0.4547026983010479,0.4275714274677415,0.48183396913435433,True,True
nrUpdateFrac,MatrixFactorizationInput,75,75,0,2.7995957512361502,2.647677870414538,2.9602303429428805,0.6316989127748159,0.6096265294010043,0.6537712961486276,True,True
nrUpdateFrac,MatrixSensing,75,75,0,1.4049345383054255,1.4035186340173211,1.406351870992772,0.28821632262869057,0.2875106657274089,0.28892197952997223,True,True
nrUpdateFrac,SmallMLPDigits,15,15,0,1.6743595201456865,1.631653475796409,1.7181833301547784,0.4021535042939942,0.3881673053893366,0.41613970319865184,True,True
stUpdateFrac,All,165,165,0,4.451197491659098,4.378384501253925,4.52522136968052,0.7739738948986256,0.7698996896193684,0.7780481001778827,True,True
stUpdateFrac,MatrixFactorizationInput,75,75,0,4.334798621074945,4.205521268569788,4.46804994798267,0.7671793010981272,0.7594149815914568,0.7749436206047975,True,True
stUpdateFrac,MatrixSensing,75,75,0,4.525160744936972,4.459562517479212,4.591723893825643,0.7785768577494145,0.7754269738896084,0.7817267416092207,True,True
stUpdateFrac,SmallMLPDigits,15,15,0,4.679837913066517,4.381658243884623,4.998309241288116,0.7849320496471727,0.7723581207254709,0.7975059785688744,True,True
update_flatness,All,165,165,0,2.2676807805697177,2.1307913615623737,2.4133644500955302,0.520978770609306,0.4909299261330767,0.5510276150855353,True,True
update_flatness,MatrixFactorizationInput,75,75,0,1.4792636540720694,1.4323853496651011,1.5276761653351651,0.31756258419934613,0.2965670646167531,0.3385581037819392,True,True
update_flatness,MatrixSensing,75,75,0,3.223539646447984,3.1785613257119554,3.269154434166691,0.6892137160584966,0.6849493063635176,0.6934781257534756,True,True
update_flatness,SmallMLPDigits,15,15,0,3.307562800300687,3.173344948933716,3.447457447577166,0.6968849754131533,0.6856843519597557,0.7080855988665509,True,True
